Team,URL
Man City,https://www.transfermarkt.co.uk/manchester-city/erfolge/verein/281
Arsenal,https://www.transfermarkt.co.uk/arsenal-fc/erfolge/verein/11
Liverpool,https://www.transfermarkt.co.uk/liverpool-fc/erfolge/verein/31
Chelsea,https://www.transfermarkt.co.uk/chelsea-fc/erfolge/verein/631
Spurs,https://www.transfermarkt.co.uk/tottenham-hotspur/erfolge/verein/148
Newcastle,https://www.transfermarkt.co.uk/newcastle-united/erfolge/verein/762
Man Utd,https://www.transfermarkt.co.uk/manchester-united/erfolge/verein/985
Aston Villa,https://www.transfermarkt.co.uk/aston-villa/erfolge/verein/405
Brighton,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/erfolge/verein/1237
Bournemouth,https://www.transfermarkt.co.uk/afc-bournemouth/erfolge/verein/989
Nottingham Forest,https://www.transfermarkt.co.uk/nottingham-forest/erfolge/verein/703
Crystal Palace,https://www.transfermarkt.co.uk/crystal-palace/erfolge/verein/873
Brentford,https://www.transfermarkt.co.uk/brentford-fc/erfolge/verein/1148
Wolves,https://www.transfermarkt.co.uk/wolverhampton-wanderers/erfolge/verein/543
West Ham,https://www.transfermarkt.co.uk/west-ham-united/erfolge/verein/379
Fulham,https://www.transfermarkt.co.uk/fulham-fc/erfolge/verein/931
Everton,https://www.transfermarkt.co.uk/everton-fc/erfolge/verein/29
Ipswich,https://www.transfermarkt.co.uk/ipswich-town/erfolge/verein/677
Southampton,https://www.transfermarkt.co.uk/southampton-fc/erfolge/verein/180
Leicester,https://www.transfermarkt.co.uk/leicester-city/erfolge/verein/1003
Leeds,https://www.transfermarkt.co.uk/leeds-united/erfolge/verein/399
Burnley,https://www.transfermarkt.co.uk/burnley-fc/erfolge/verein/1132
Sunderland,https://www.transfermarkt.co.uk/sunderland-afc/erfolge/verein/289
Sheffield Utd,https://www.transfermarkt.co.uk/sheffield-united/erfolge/verein/350
Middelsbrough,https://www.transfermarkt.co.uk/middlesbrough-fc/erfolge/verein/641
Norwich,https://www.transfermarkt.co.uk/norwich-city/erfolge/verein/1123
Coventry,https://www.transfermarkt.co.uk/coventry-city/erfolge/verein/990
West Brom,https://www.transfermarkt.co.uk/west-bromwich-albion/erfolge/verein/984
Luton,https://www.transfermarkt.co.uk/luton-town/erfolge/verein/1031
Hull,https://www.transfermarkt.co.uk/hull-city/erfolge/verein/3008
Stoke,https://www.transfermarkt.co.uk/stoke-city/erfolge/verein/512
Bristol,https://www.transfermarkt.co.uk/bristol-city/erfolge/verein/698
QPR,https://www.transfermarkt.co.uk/queens-park-rangers/erfolge/verein/1039
Blackburn,https://www.transfermarkt.co.uk/blackburn-rovers/erfolge/verein/164
Watford,https://www.transfermarkt.co.uk/watford-fc/erfolge/verein/1010
Swansea,https://www.transfermarkt.co.uk/swansea-city/erfolge/verein/2288
Preston North End,https://www.transfermarkt.co.uk/preston-north-end/erfolge/verein/466
Cardiff,https://www.transfermarkt.co.uk/cardiff-city/erfolge/verein/603
Millwall,https://www.transfermarkt.co.uk/millwall-fc/erfolge/verein/1028
Sheffield Wed,https://www.transfermarkt.co.uk/sheffield-wednesday/erfolge/verein/1035
Plymouth,https://www.transfermarkt.co.uk/plymouth-argyle/erfolge/verein/2262
Derby,https://www.transfermarkt.co.uk/derby-county/erfolge/verein/22
Oxford,https://www.transfermarkt.co.uk/oxford-united/erfolge/verein/988
Portsmouth,https://www.transfermarkt.co.uk/portsmouth-fc/erfolge/verein/1020
Birmingham,https://www.transfermarkt.co.uk/birmingham-city/erfolge/verein/337
Huddersfield,https://www.transfermarkt.co.uk/huddersfield-town/erfolge/verein/1110
Wrexham,https://www.transfermarkt.co.uk/wrexham-afc/erfolge/verein/1112
Barnsley,https://www.transfermarkt.co.uk/barnsley-fc/erfolge/verein/349
